order_id,customer_name,region,product,sales_rep,order_date,quantity,unit_price,discount,shipping_cost,revenue,total_cost,priority,sales_rep_email
ELX-1000,TechMart,North,Fitbit Charge 6,Jane Doe,2023-04-25,9,887.72,0.17,22.84,"$6,631.27",6654.11,medium,jane.doe@yahoo.com
ELX-1001,TechMart,Central,Power Bank,John Smith,2023-01-16,6,274.09,0.13,5.53,1430.75,1436.28,HIGH,john.smith@business.org
ELX-1002,Electronics Plus,Central,Power Bank,Jane Doe,2023-08-18,38,344.66,0.22,20.18,10215.72,10235.9,High,jane.doe@yahoo.com
ELX-1003,Electronics Plus,West,Screen Protector,Bob Wilson,2023-03-21,14,1149.3,0.08,6.85,14802.98,14809.83,medium,BOB.WILSON@YAHOO.COM
ELX-1004,  TechMart  ,East,Wireless Charger,Mike Davis,2023-05-16,3,879.73,0.13,24.46,2296.1,2320.56,Medium,
ELX-1005,GadgetHub,North,Phone Holder,Bob Wilson,2023-11-18,40,1064.26,0.09,8.85,"$38,739.06",38747.91,,
ELX-1006,TechMart,North,Apple Watch Series 9,Bob Wilson,2023-02-10,15,1041.78,0.1,14.07,14064.03,14078.1,Low,bob.wilson@company.com
ELX-1007,Digital World,South,Wireless Charger,Bob Wilson,2023-04-18,43,331.37,0.23,17.96,10971.66,10989.62,high,bob.wilson.@company.com
ELX-1008,Smart Store,South,Phone Holder,Jane Doe,2023-03-25,30,464.65,0.25,17.8,10454.62,10472.42,medium,jane.doe@gmail.com
ELX-1009,Smart Store,South,Screen Protector,John Smith,2023-04-28,3,968.98,,6.32,2616.25,2622.57,medium,john.smith.@gmail.com
ELX-1010,Smart Store,East,Sony WH-1000XM5,Alice Brown,2023-07-22,42,558.74,0.07,9.93,21824.38,21834.31,high,-
ELX-1011,Smart Store,Central,Fitbit Charge 6,Mike Davis,2023-08-08,38,488.29,0.05,24.95,17627.27,17652.22,high,mike.davis.@business.org
ELX-1012,  Smart Store  ,west,MacBook Pro,John Smith,2023-02-26,10,758.52,0.2,13.44,6068.16,6081.6,High,john.smithbusiness.org
ELX-1013,  TechMart  ,West,USB-C Cable,Mike Davis,2023-08-28,34,312.93,0.14,23.85,9150.07,9173.92,medium,MIKE.DAVIS@YAHOO.COM
ELX-1014,TechMart,Central,Fitbit Charge 6,Bob Wilson,2023-02-27,19,530.2,0.11,24.08,8965.68,8989.76,,bob.wilsongmail.com
ELX-1015,Digital World,Central,AirPods Pro,Mike Davis,2023-02-24,41,368.66,0.16,17.18,12696.65,12713.83,Medium,MIKE.DAVIS@GMAIL.COM
ELX-1016,Electronics Plus,east,airpods pro,Mike Davis,2023-09-29,1,724.75,0.12,7.24,637.78,645.02,high,Missing
ELX-1017,Digital World,East,Apple Watch Series 9,John Smith,2023-04-05,37,1137.14,0.02,14.72,41232.7,41247.42,Low,
ELX-1018,TechMart,central,iPad Air,Jane Doe,2023-12-04,31,1137.02,0.04,15.55,33837.72,33853.27,high,jane.doe@company.com
ELX-1019,Smart Store,West,Sony WH-1000XM5,Mike Davis,2023-12-20,13,859.84,0.1,18.43,10060.13,10078.56,High,mike.davis.@yahoo.com
ELX-1020,  Digital World  ,West,Laptop Stand,Alice Brown,2023-03-03,16,281.27,0.08,16.77,4140.29,4157.06,,alice.brown.@business.org
ELX-1021,Electronics Plus,Central,Apple Watch Series 9,John Smith,2023-02-06,46,762.86,0.06,23.11,32986.07,33009.18,low,JOHN.SMITH@GMAIL.COM
ELX-1022,Digital World,North,Laptop Stand,Jane Doe,2023-05-23,43,590.22,0.13,19.47,22080.13,22099.6,low,jane.doe.@business.org
ELX-1023,Smart Store,Central,Gaming Headset,Jane Doe,2023-08-31,27,240.64,0.02,13.62,6367.33,6380.95,Low,
ELX-1024,GadgetHub,West,Bluetooth Speaker,John Smith,2023-12-11,42,1181.24,0.02,13.05,48619.84,48632.89,low,john.smithyahoo.com
ELX-1025,Digital World,North,Apple Watch Series 9,Jane Doe,2023-04-08,35,546.61,0.11,10.57,17026.9,17037.47,medium,jane.doegmail.com
ELX-1026,Electronics Plus,North,Bluetooth Speaker,Mike Davis,2023-02-20,4,787.79,0.14,5.3,2710.0,2715.3,medium,MIKE.DAVIS@BUSINESS.ORG
ELX-1027,TechMart,South,Apple AirPods Pro,Alice Brown,2023-09-06,31,268.29,0.1,6.17,7485.29,7491.46,high,ALICE.BROWN@COMPANY.COM
ELX-1028,  GadgetHub  ,NORTH,USB-C Cable,Bob Wilson,2023-08-21,19,516.26,0.24,24.91,7454.79,7479.7,high,bob.wilson@company.com
ELX-1029,Smart Store,West,iPad Air,Jane Doe,2023-06-01,14,1162.92,0.14,15.84,14001.56,14017.4,Medium,jane.doe.@company.com
ELX-1030,Digital World,North,Samsung Galaxy S24,Mike Davis,2023-09-02,33,1104.47,0.13,6.14,31709.33,31715.47,Medium,mike.davis@yahoo.com
ELX-1031,Smart Store,North,AirPods Pro,John Smith,2023-11-01,5,815.13,0.06,7.4,3831.11,3838.51,,john.smith.@company.com
ELX-1032,Smart Store,South,Samsung  Galaxy  S24,Mike Davis,2023-02-11,27,793.99,0.14,11.33,18436.45,18447.78,Medium,
ELX-1033,Digital World,South,Screen Protector,Jane Doe,2023-05-16,26,170.09,0.16,14.14,3714.77,3728.91,Low,jane.doe.@yahoo.com
ELX-1034,TechMart,North,Bluetooth Speaker,Mike Davis,2023-10-16,7,101.81,0.05,10.3,677.04,687.34,medium,MIKE.DAVIS@COMPANY.COM
ELX-1035,  Digital World  ,North,Apple Watch Series 9,Bob Wilson,2023-05-26,11,534.25,0.14,11.05,"$5,054.01",5065.06,high,bob.wilsongmail.com
ELX-1036,Smart Store,North,Phone Holder,Bob Wilson,2023-12-06,7,1127.63,0.03,7.31,7656.61,7663.92,low,bob.wilsoncompany.com
ELX-1037,TechMart,Central,iPad Air,Bob Wilson,2023-05-25,39,264.6,0.09,18.75,"$9,390.65",9409.4,Medium,bob.wilsongmail.com
ELX-1038,Digital World,Central,Gaming Headset,Bob Wilson,2023-01-27,6,766.63,0.21,5.88,3633.83,3639.71,medium,bob.wilson@yahoo.com
ELX-1039,  Digital World  ,South,Fitbit Charge 6,Jane Doe,2023-08-15,36,851.22,0.14,7.24,26353.77,26361.01,Medium,JANE.DOE@GMAIL.COM
ELX-1040,Electronics Plus,Central,Samsung Galaxy S24,Bob Wilson,2023-10-26,36,190.49,0.03,11.17,"$6,651.91",6663.08,high,bob.wilson@yahoo.com
ELX-1041,TechMart,East,Sony WH-1000XM5,Jane Doe,2023-12-08,7,434.11,0.14,22.49,2613.34,2635.83,Medium,jane.doe@business.org
ELX-1042,Smart Store,South,Apple Watch Series 9,Jane Doe,2023-04-01,27,44.37,0.18,11.64,982.35,993.99,Low,jane.doecompany.com
ELX-1043,GadgetHub,South,Fitbit Charge 6,Jane Doe,2023-12-26,7,468.31,0.01,14.41,3245.39,3259.8,HIGH,JANE.DOE@COMPANY.COM
ELX-1044,Electronics Plus,WEST,Wireless-Charger,Bob Wilson,2023-04-27,15,43.04,0.05,11.57,613.32,624.89,Medium,
ELX-1045,TechMart,east,Wireless Charger,Mike Davis,2023-07-24,44,1177.66,0.13,23.78,"$45,080.82",45104.6,Medium,mike.davis.@business.org
ELX-1046,TechMart,East,AirPods Pro,Mike Davis,2023-05-16,3,143.46,0.11,19.57,383.04,402.61,High,mike.davis@gmail.com
ELX-1047,Digital World,West,Laptop Stand,John Smith,2023-07-17,37,240.24,,13.72,"$8,799.99",8813.71,low,-
ELX-1048,Smart Store,Central,Sony WH-1000XM5,Bob Wilson,2023-08-09,5,1139.42,0.23,17.46,4386.77,4404.23,medium,bob.wilson@company.com
ELX-1049,TechMart,east,Laptop Stand,Bob Wilson,2023-12-08,27,401.53,0.17,16.09,8998.29,9014.38,Low,bob.wilson.@yahoo.com
ELX-1050,Electronics Plus,West,USB-C Cable,Jane Doe,2023-11-12,37,371.63,0.14,5.01,11825.27,11830.28,Medium,jane.doe.@gmail.com
ELX-1051,Digital World,South,Power Bank,Mike Davis,2023-11-07,42,396.87,0.11,18.51,14835.0,14853.51,Medium,mike.davisgmail.com
ELX-1052,Smart Store,West,AirPods Pro,John Smith,2023-05-26,33,801.67,0.15,6.87,22486.84,22493.71,HIGH,john.smith.@gmail.com
ELX-1053,Electronics Plus,EAST,Apple Watch Series 9,Jane Doe,2023-03-17,2,69.76,0.25,17.23,104.64,121.87,,JANE.DOE@YAHOO.COM
ELX-1054,TechMart,West,Power Bank,Mike Davis,2023-04-10,46,840.18,0.12,9.88,34010.49,34020.37,,mike.davis.@company.com
ELX-1055,TechMart,North,Power Bank,Jane Doe,2023-04-01,45,628.78,0.01,9.98,28012.15,28022.13,medium,JANE.DOE@BUSINESS.ORG
ELX-1056,TechMart,West,iPad Air,Alice Brown,2023-12-08,34,1185.65,-,24.0,34265.29,34289.29,low,alice.brown.@gmail.com
ELX-1057,GadgetHub,Central,Laptop Stand,Alice Brown,2023-10-08,29,1078.19,0.19,14.49,25326.68,25341.17,HIGH,
ELX-1058,Digital World,South,Fitbit Charge 6,Mike Davis,2023-09-06,41,298.51,0.11,19.27,10892.63,10911.9,Low,mike.daviscompany.com
ELX-1059,  Electronics Plus  ,East,Screen Protector,Bob Wilson,2023-10-04,6,178.97,0.06,18.88,-,1028.27,Low,bob.wilson@gmail.com
